business,website,city,dated_clue,contact_name,email,status,sent_date,reply,package,notes
CB Construction (Cleveland),https://cbconstructioncleveland.co.uk/,Middlesbrough,"Footer still shows COPYRIGHT 2012 - 2026",,enquiries@cbcon-cleveland.co.uk,researched,,,,Wave 9 backlog
Regal Print,https://www.regalprint.co.uk/,Peterlee / Durham,Peterlee printers since 1984 - relatively current Wix,,marco@regalprint.co.uk,researched,,,,Wave 9 backlog
Team Valley Printers,https://www.teamvalleyprinters.co.uk/,Gateshead,Gateshead print / marketing - relatively current,,info@teamvalleyprinters.co.uk,researched,,,,Wave 9 backlog
Whites Print,https://www.whitesprint.co.uk/,Durham,Family printers since 1926 - relatively current,,sales@whitesprint.co.uk,researched,,,,Wave 9 backlog
GK Fabrications,https://gkfabrications.co.uk/,North East,Fabricators - relatively current,,enquiries@gkfabrications.co.uk,researched,,,,Wave 9 backlog
Durham Sheet Metal,https://durhamsheetmetal.co.uk/,South Shields,Sheet metal since 1955 - relatively current,,info@durhamsheetmetal.co.uk,researched,,,,Wave 9 backlog
MorFabrication,https://morfabrication.com/,Newcastle,Steel fabricators - relatively current,,info@morfabrication.com,researched,,,,Wave 9 backlog
RTS Joinery,https://www.rtsjoinery.co.uk/,Stockton-on-Tees,Joinery / shopfitting - relatively current,,enquiries@rtsjoinery.co.uk,researched,,,,Wave 9 backlog
Woodtech Joinery,https://woodtechjoinery.co.uk/,Middlesbrough,Joinery / shopfitting - relatively current,,info@woodtechjoinery.co.uk,researched,,,,Wave 9 backlog
SG Welding & Fabrication,https://sgwelding.co.uk/,Stockton-on-Tees,Welding / fabrication - relatively current,,info@sgwelding.co.uk,researched,,,,Wave 9 backlog
Tremfab,https://tremfab.co.uk/,North East,Architectural fabrication - relatively current,,nick@tremfab.co.uk,researched,,,,Wave 9 backlog
Tyneside Electrical,https://www.tynesideelectrical.co.uk/,Newcastle,Electrical contractors - relatively current,,contact@tynesideelectrical.co.uk,researched,,,,Wave 9 backlog
Donyal Engineering,https://donyal.co.uk/,Stanley / Durham,Engineering - relatively current,,enquiries@donyal.co.uk,researched,,,,Wave 9 backlog
Potts Print (UK),https://www.potts.co.uk/,Cramlington / Northumberland,Large print group - relatively current,,info@potts.co.uk,researched,,,,Wave 9 backlog
Pace Print (Edinburgh),http://www.paceprint.co.uk/,Edinburgh,Flash Shockwave menu still embedded; copy still says now into our 26th year (opened 1986); live Fax; enquiry via btconnect.com,,paceprintltd@btconnect.com,draft,,,,Wave 10 Scotland
Fabtech Aberdeen,https://www.fabtechaberdeenltd.co.uk/,Aberdeen / Ellon,Homepage still says sheet metal guolotine; privacy page misspells Fabtect and publishes info@fabtectaberdeenltd.co.uk,,info@fabtectaberdeenltd.co.uk,draft,,,,Wave 10 Scotland
Marpet Fabrications,https://marpet.co.uk/,Glasgow,Client list still shows Aulds Delicious Deserts; live Fax 0141 641 7118,,info@marpet.co.uk,draft,,,,Wave 10 Scotland
Pro Cut Joinery,https://procutjoinery.co.uk/,Edinburgh,Homepage still asks visitors to turn on Flash player; about page still lists live Fax 0131 478 9390,,info@procutjoinery.co.uk,draft,,,,Wave 10 Scotland
Ironcraft Steel Fabrications,https://www.ironcraft-steel-fabrications.co.uk/,Glasgow / Hillington,Contact still on contactus.asp with live fax line f: 0141-883-3432,,enquiries@ironcraft-steel-fabrications.co.uk,draft,,,,Wave 10 Scotland
Mackinnon Slater,https://www.mackinnonslater.co.uk/,Edinburgh,Live site still tells visitors to turn on Flash player plugin,,info@mackinnonslater.co.uk,draft,,,,Wave 10 Scotland
W T Scott and Partners,https://www.wtscottandpartners.co.uk/,Cumbernauld / Glasgow,Homepage still shows Please turn on your Flash player plugin message,,enquiries@wtscottandpartners.co.uk,draft,,,,Wave 10 Scotland
C&M Environmental,https://www.cmenvironmental.co.uk/,Glasgow,Contact page still publishes live Fax 0141 336 5559,,info@cmenvironmental.co.uk,draft,,,,Wave 10 Scotland
Buchanan Macleod,http://www.buchananmacleod.co.uk/,Glasgow,Site still loads html5shiv and publishes live Fax +44 (0)141 221 2343,,mail@buchananmacleod.co.uk,draft,,,,Wave 10 Scotland
David Smith (Fabricators),https://www.davidsmithfabricators.co.uk/,Paisley / Glasgow,Footer still lists live Fax 0141 889 0684 beside gmail enquiry address,,davidsmith.fabsltd@gmail.com,draft,,,,Wave 10 Scotland
Neilsons Joinery Superstore,https://www.neilsonsjs.co.uk/,Glasgow,Live Fax 0141 336 4330; homepage specials strip still says Coming soon...,,sales@neilsonsjs.co.uk,researched,,,,Wave 10 backlog
Central Air Conditioning,https://www.centralairconditioning.co.uk/,East Kilbride / Glasgow,Footer still locked on Copyright 2017,,info@centralairconditioning.co.uk,researched,,,,Wave 10 backlog
Cairnhill Structures,https://www.cairnhillstructures.co.uk/,Coatbridge / North Lanarkshire,Contact page still publishes live Fax 01236 449 334,,enquiries@cairnhillstructures.co.uk,researched,,,,Wave 10 backlog
inbrass,https://www.inbrass.co.uk/,Edinburgh,Live catalogue site still loads html5shiv; footer Copyright 2014,,sales@inbrass.co.uk,researched,,,,Wave 10 backlog
Calder Engineering,https://www.calderengineering.co.uk/,Thurso / Scrabster,Contact pages still publish live Fax +44 (0)1847 892345,,admin@calderengineering.co.uk,researched,,,,Wave 10 backlog
Safab,https://www.safab.co.uk/,Glasgow,Contact page still lists live Fax 0141 954 2229,,sales@safab.co.uk,researched,,,,Wave 10 backlog
Roof Edge Fabrications,https://www.roofedge.co.uk/,Glasgow,Site still loads html5shiv and shows Copyright 2014 after 2020 APS merge notice,,brian@apssafetysystems.com,researched,,,,Wave 10 backlog
Sonic Stainless,https://www.sonicstainless.co.uk/,Glasgow,Stainless fabrication - relatively current,,contact@sonicstainless.co.uk,researched,,,,Wave 10 backlog
Robertson Bros Engineering,https://www.robertsonbros.co.uk/,Haddington / East Lothian,Welding / fabrication - relatively current,,info@robertsonbros.co.uk,researched,,,,Wave 10 backlog
Glen-Fab,https://www.glen-fab.co.uk/,Scotland,Fabrication - relatively current Wix,,info@glen-fab.co.uk,researched,,,,Wave 10 backlog
Had-Fab,https://hadfab.co.uk/,Tranent / East Lothian,Metal structure engineering - relatively current,,sales@hadfabltd.co.uk,researched,,,,Wave 10 backlog
Excel Steel Services,https://excelsteelservices.co.uk/,Dunbar / Edinburgh fringe,Steel fabricators - relatively current,,sales@excelsteel.co.uk,researched,,,,Wave 10 backlog
AD Metal Fabrications,https://www.admetalfabrications.co.uk/,Livingston,Metalworkers / structural steel - relatively current,,enquiries@admetalfabrications.co.uk,researched,,,,Wave 10 backlog
Aberdeen Sheet Metal,https://aberdeensheetmetal.com/,Westhill / Aberdeen,Sheet metal / HVAC ductwork - relatively current,,info@aberdeensheetmetal.com,researched,,,,Wave 10 backlog
EVM,https://www.evm.co.uk/,Glasgow,Joinery / signage / large format - relatively current,,sales@evm.co.uk,researched,,,,Wave 10 backlog
GB Engineering,http://www.gb-engineering.co.uk/,Derry / Maydown,Homepage still says NEW Inhouse Lazer Cutting Facility; live Fax 028 7186 1100 on table/font layout,,info@gb-engineering.co.uk,draft,,,,Wave 11 NI
Coates Engineering,http://www.coates-engineering.co.uk/,Bangor / Co Down,Live Fax 028 9147 0652; nested font tags and table layout still live,,sales@coates-engineering.co.uk,draft,,,,Wave 11 NI
GPS Colour Graphics,https://gpscolour.co.uk/,Belfast,Site still loads html5shiv from googlecode SVN trunk for IE,,sales@gpscolour.co.uk,draft,,,,Wave 11 NI
Balcas,https://balcas.com/,Enniskillen,Site still loads html5shiv; contact still publishes live Fax +44 (0) 28 6632 4082,,info@balcas.com,draft,,,,Wave 11 NI
Boxpak,https://www.boxpak.co.uk/,Newtownabbey / Belfast,Contact strip still lists live Fax 028 9086 6731,,info@boxpak.co.uk,draft,,,,Wave 11 NI
Mash Direct,https://www.mashdirect.com/,Comber,Footer and contact still publish live Fax +44 (0) 28 9187 0628,,enquiries@mashdirect.com,draft,,,,Wave 11 NI
Beggs & Partners,https://www.beggsandpartners.com/,Belfast,Live site still loads IE8 html5shiv shim,,tradesalesbelfast@beggsandpartners.com,draft,,,,Wave 11 NI
McKibbin Commercial,https://www.mckibbin.co.uk/,Belfast,Site still loads html5shiv for IE8 and below,,property@mckibbin.co.uk,draft,,,,Wave 11 NI
Pinpoint Property,https://www.pinpointproperty.com/,Belfast,Site still loads /js/html5shiv.js behind IE conditional,,contact@pinpointproperty.com,draft,,,,Wave 11 NI
Simon Brien,https://www.simonbrien.com/,Belfast,Site still loads /js/html5shiv.js for old Internet Explorer,,southbelfast@simonbrien.com,draft,,,,Wave 11 NI
Wright Engineering,https://www.wrightengineering.co.uk/,Magherafelt,Footer still locked on Copyright 2015; site still loads googlecode html5shiv,,,researched,,,,Wave 11 backlog
Belfast Foiling,https://www.belfastfoiling.com/,Newtownabbey,Live pages still use legacy font markup for a print finisher,,info@belfastfoiling.com,researched,,,,Wave 11 backlog
Clandeboye Estate,https://www.clandeboye.co.uk/,Bangor,Site still loads html5shiv printshiv from CDN,,mail@clandeboye.co.uk,researched,,,,Wave 11 backlog
Templeton Robinson,https://www.templetonrobinson.com/,Belfast,Site still loads /js/html5shiv.js; form-only contact,,,researched,,,,Wave 11 backlog
Miles-Ash Limited,https://www.miles-ashlimited.co.uk/,Newtownabbey,HVAC / ductwork - relatively current,,enquiries@milesash.com,researched,,,,Wave 11 backlog
GAE Ltd,https://gaeltd.co.uk/,Newtownards,Stainless fabrication - relatively current,,info@gaeltd.co.uk,researched,,,,Wave 11 backlog
Print Tec,https://www.printtecni.com/,Newtownabbey,Commercial printers - relatively current,,john@printtec.org.uk,researched,,,,Wave 11 backlog
ESL Engineering,https://www.eslengineering.co.uk/,Coleraine,Engineering specialists - relatively current,,sales@eslengineering.co.uk,researched,,,,Wave 11 backlog
Artizan Fabrications,https://www.artizanfabrications.com/,Northern Ireland,Metal fabrication - relatively current,,info@artizanfabrications.com,researched,,,,Wave 11 backlog
Larne Engineering,https://www.larneengineering.com/,Larne,Engineering / fabrication - relatively current,,info@larneengineering.com,researched,,,,Wave 11 backlog
Metalcraft Engineering,https://www.metalcrafteng.com/,Belfast,Steel / waterjet - relatively current,,info@metalcrafteng.com,researched,,,,Wave 11 backlog
Techfab Engineering,https://www.techfabengineering.com/,Belfast,Sheet metal fabrication - relatively current,,info@techfabengineering.com,researched,,,,Wave 11 backlog
Hamilton Metal Forming,https://www.hamiltonmetalforming.com/,Cookstown,Roofing / cladding pressings - relatively current,,sales@hamiltonmetalforming.com,researched,,,,Wave 11 backlog
Print Direct NI,https://www.printdirectni.com/,Belfast,Commercial printing - relatively current,,hello@printdirectni.com,researched,,,,Wave 11 backlog
Print NI,https://www.printni.com/,Northern Ireland,Printers - relatively current,,Stephen@printni.com,researched,,,,Wave 11 backlog
BD&H Printers,http://www.bdandh.co.uk/,Norwich,©2012 + live Fax 01603 630186 + Dreamweaver MM_swapImage table layout,,sales@bdandh.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
Total Fabrications,http://www.totalsteelfabrication.co.uk/,Thetford / Norfolk,HTML 4.01 Transitional single-page table brochure; btconnect email,David Whyte,whyte_david@btconnect.com,draft,,,,Wave 12 East Anglia / Home Counties
J D Easton Accountants,http://jdeastonaccountants.co.uk/,Barford / Norwich,Absolute-position early-2010s builder UI + live Fax 01603 759736 + fsnet mailbox,John Easton,john@jdeastonaccountants.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
DSM Fabrication,https://www.dsmfab.co.uk/,Wendover Dean / Aylesbury,Live FAX 01296 625638 in header and footer contact strip,,steel@dsmfab.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
KH Construction,http://www.khconstruction.co.uk/,Cambridge,js/html5shiv.js still loaded for IE8 plus IE-only slider assets,Ian Kingsley,iankingsley@khconstruction.info,draft,,,,Wave 12 East Anglia / Home Counties
MT Perry Engineering,http://www.perryfabs.co.uk/,Maidenhead / Berkshire,Live Fax 01628 638 375 still published on every page footer,,sales@perryfabs.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
Jenkins Engineering,https://www.jenkins-engineering.co.uk/,Maidenhead / Berkshire,Live Fax 01628 776 648 still listed beside phone and email,,info@jenkins-engineering.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
Active Engineering,https://www.active-engineering.co.uk/,Marlow / Buckinghamshire,Live Fax 01628 488221 still on the contact block,,sales@active-engineering.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
Anglia Print,https://www.angliaprint.co.uk/,Norwich / Beccles,html5shiv + respond.js still loaded (even wired as stylesheet IDs),,info@angliaprint.co.uk,draft,,,,Wave 12 East Anglia / Home Counties
Arc Fabrications,https://www.steel-fabrications-norfolk.co.uk/,King's Lynn / Norfolk,IE8 html5shiv + Respond.js still loaded from oss.maxcdn,,enquiries@arc-fabs.com,draft,,,,Wave 12 East Anglia / Home Counties
Steven R Francis & Co,http://www.srfrancis.co.uk/,Stowmarket / Suffolk,Live Fax 01449 770 190 still on contact strip,,administration@srfrancis.co.uk,researched,,,,Wave 12 backlog
Norton Peskett,https://nortonandpeskett.co.uk/,Lowestoft / Great Yarmouth / Norfolk,©2015 legacy site still publishes Fax on every branch block,,enquire.lowestoft@nortonpeskett.co.uk,researched,,,,Wave 12 backlog; also nortonpeskett.co.uk modern twin
Milton Keynes Pressings,https://mkp.co.uk/,Milton Keynes / Bletchley,Live Fax +44 (0) 1908 648906 still in footer contact,,sales@mkp.co.uk,researched,,,,Wave 12 backlog
Berkshire Accountants,https://berkshireaccountants.com/,Reading,Footer still reads Copyright 2010 - 2020,,info@berkshireaccountants.com,researched,,,,Wave 12 backlog
Plastics Fabrication & Printing,https://www.plasticsfabrication.co.uk/,Milton Keynes,Footer copyright still starts All material © 2003,,sales@plastics-fabrication.co.uk,researched,,,,Wave 12 backlog
Adhesive Dispensing,https://kitpackers.co.uk/assist.htm,Milton Keynes,Dreamweaver-era MM_swapImage assist page + Fax Sales + Copyright 2005,,support@adhesivedispensers.co.uk,researched,,,,Wave 12 backlog; adhesivedispensing.co.uk twin
Multifab,https://multifab.co.uk/,Peterborough,IE9 conditional html class still wrapping the live theme,,enquiries@multifab-eng.co.uk,researched,,,,Wave 12 backlog
Eurotech Precision Engineering,http://www.eurotecheng.co.uk/,King's Lynn,Footer still locked on Copyright 2017,,sales@eurotecheng.co.uk,researched,,,,Wave 12 backlog
Elite Building Services,https://www.elitebuildingservices.co.uk/,Cambridge,Homepage still leads with CORGI REGISTERED wording for gas work,Andy Baxter,andy@elitebuildingservices.co.uk,researched,,,,Wave 12 backlog
KBN Accountants,https://www.kbnaccountants.co.uk/,Reading,Early Bootstrap single-page template with thin content for a chartered firm,,info@kbnaccountants.co.uk,researched,,,,Wave 12 backlog
C3 Engineering,https://www.c3engineering.co.uk/,Norfolk,IE lt-IE9 / IE9 conditional comments still on the live HTML shell,,sales@c3engineering.co.uk,researched,,,,Wave 12 backlog
TCF Sheet Metal,https://tcfsheetmetal.co.uk/,Besthorpe / Norfolk,Trade fabricator site - relatively current Divi build,,info@tcfsheetmetal.co.uk,researched,,,,Wave 12 backlog
Alpha Sheetmetal,https://www.alphasheetmetal.com/,Norwich,IE conditional comment still in Astra theme head,,sales@alphasheetmetal.com,researched,,,,Wave 12 backlog
K. Rackham & Son Engineering,https://rackhamengineering.co.uk/,Norwich,Long-standing Norwich fabricator - relatively current WordPress,,sales@rackhamengineering.co.uk,researched,,,,Wave 12 backlog
Dale Sheetmetal,https://www.dalesheetmetal.co.uk/,King's Lynn,King's Lynn food-sector sheet metal - relatively current,,info@dalesheetmetal.com,researched,,,,Wave 12 backlog
NKF Metals,http://www.webfantastic.co.uk/nkf/,Erith / Kent,"Live table/font brochure site; FAX 020 8310 2204 + btinternet mailbox",,john@nkfmetals.com,draft,,,,Wave 13 South Coast / Kent / Sussex
A&S Tooling,https://astooling.co.uk/,Bognor Regis / West Sussex,"Live Fax +44 (1243) 849100 still published beside phone on font-tag pages",,sales@astooling.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
Style Accountants,http://www.styleaccountants.co.uk/,Southwick / Brighton,"Live Fax 01273 595545 on a font-tag table homepage for ACCA firm",Adam Style,adam@styleaccountants.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
Tew Bros,https://www.tewbros.net/,Southampton / Hampshire,"Legacy portal still lists Fax 023 80438809 + Copyright 2016 + font markup (modern twin at tewbros.com)",,helpdesk@tewbros.com,draft,,,,Wave 13 South Coast / Kent / Sussex
Selsey Press,https://selseypress.co.uk/,Selsey / Chichester,"html5shiv + respond.js still loaded behind IE conditional comments",,sales@selseypress.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
Lasertech Engineering,https://www.lasertechengineering.co.uk/,Storrington / West Sussex,Live Fax number 01903 746363 still published on the homepage contact block,,info@lasertechengineering.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
Laddingford Engineering,https://www.laddeng.co.uk/,Laddingford / Maidstone,"Live Facsimile (01622) 872736 still on contact and footer strips",,info@laddeng.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
M J Raven & Son,https://www.mjraven.co.uk/,Broadstairs / Kent,"Live FAX +44 (0) 1843 866070 still on the homepage contact block",,sales@mjraven.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
SBS Accountants,https://www.sbsaccountants.co.uk/,Portsmouth / Southampton,"Contact pages still publish Fax 02392 816680 / 02380 337728; mailbox is aol.com",,sbsacc@aol.com,draft,,,,Wave 13 South Coast / Kent / Sussex
Berry and Lamberts,https://www.berryandlamberts.co.uk/,Tunbridge Wells / Sevenoaks / Paddock Wood,"Every branch block still lists live FAX (01892 511223 / 01732 740258 / 01892 836902)",,enquiries@berryandlamberts.co.uk,draft,,,,Wave 13 South Coast / Kent / Sussex
Glenwood Developments,http://www.glenwooduk.com/,Southampton / Woolston,"©2008 + Dreamweaver MM_swapImage still on live land-based pages; form-only contact",,,researched,,,,Wave 13 backlog
SGE (Seal) Ltd,https://www.sgeseal.com/,Seal / Sevenoaks,"Live Fax/Facsimile 01732 761422 + html5shiv IE conditionals; no public sales email",,,researched,,,,Wave 13 backlog
Clarkes Mechanical,https://www.clarkesmechanical.com/,Isle of Wight / Solent,"Live Fax 01983 298472 on company pages; early-2010s HTML shell",,form@clarkesmechanical.co.uk,researched,,,,Wave 13 backlog
CL Fabrications,https://www.clfabs.co.uk/,Sittingbourne / Medway,Bootstrap stack still loads html5shiv.min.js for old IE,,clare@clfabs.co.uk,researched,,,,Wave 13 backlog
Solent Engineering,https://solentengineering.co.uk/,Billingshurst / West Sussex,Live site still loads html5shiv.js behind IE conditional,,info@solentengineering.com,researched,,,,Wave 13 backlog
Formet Fabrications,https://formetfab.com/,Littlehampton / West Sussex,Footer copyright still locked on Copyright (c) 2015,,sales@formetfab.com,researched,,,,Wave 13 backlog
Island Metalworks,https://islandmetalworksltd.co.uk/,Crawley / West Sussex,Footer copyright still locked on Copyright (c) 2015,,enquiries@islandmetalworksltd.co.uk,researched,,,,Wave 13 backlog
Lakeside Printing,https://lakesideprinting.co.uk/,Tonbridge / Kent,"Copyright (c) 2015 still in theme plus lt IE conditional comments",,sales@lakesideprinting.co.uk,researched,,,,Wave 13 backlog
Colbridge Engineering,https://www.colbridge.co.uk/,Crawley / West Sussex,Homepage still claims full ISO 9001:2000 accreditation wording,,sales@colbridge.co.uk,researched,,,,Wave 13 backlog
Stevens & Carlotti,https://www.stevens-and-carlotti.co.uk/,Sandwich / Kent,IE conditional comments still in the live HTML shell,,sales@stevens-and-carlotti.co.uk,researched,,,,Wave 13 backlog
Sussex Engineering,https://www.sussexengineering.co.uk/,Sussex,IE lt IE conditional comments still on the live HTML shell,,info@sussexengineering.co.uk,researched,,,,Wave 13 backlog
Trimline,https://www.trimline.co.uk/,Whiteley / Hampshire,Marine outfitting site still loads /js/html5shiv.js for old IE,,enquiries@trimline.co.uk,researched,,,,Wave 13 backlog
Epic Printing,https://www.epicprinting.co.uk/,Crawley / West Sussex,Homepage still leads with Coming soon for a long-established litho printer,,,researched,,,,Wave 13 backlog
Twenty Four Hour Engineering,https://www.24hreng.co.uk/,Rochester / Medway,Medway architectural metalwork / fabrication - relatively current,,info@24hreng.co.uk,researched,,,,Wave 13 backlog
Motis Estates,https://www.motis-estates.com/,Folkestone / Kent,Long-standing Folkestone estate agents - relatively current,,sales@motis-estates.com,researched,,,,Wave 13 backlog
Adnor,https://adnor.co.uk/,Kingston / Surrey,Live Fax +44 (0) 208 549 8989 + html5shiv IE conditionals + Copyright 2014,,sales@adnor.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
Bunce Sheet Metal,https://buncesheetmetal.co.uk/,Egham / Surrey,Live Tel/Fax 01784 433 556 + Copyright 2010 on static HTML shopfront,,sales@buncesheetmetal.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
RGA Accounting,https://www.rgaaccounting.co.uk/,South Nutfield / Surrey,Live Fax 01737 821500 on contact page + dedicated IE6 stylesheet,Ross Anderson,ross@rgaaccounting.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
Elgee Pinks,https://www.elgeepinks.co.uk/,Reigate / Surrey,Live Fax 01737 247297 still published on the contact block,,info@elgeepinks.com,draft,,,,Wave 14 Surrey / Guildford / Reigate
EKA Services,https://www.ekaservices.co.uk/,East Molesey / Surrey,html5shiv still loaded behind IE conditional comments,,sales@ekaservices.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
Print Reigate,https://www.printreigate.co.uk/,Reigate / Surrey,Early PHP brochure site still uses live font-tag navigation links,,info@printreigate.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
RJP,https://rjp.co.uk/,Surrey / London,html5shiv still pulled from googlecode trunk behind IE conditionals,,partners@rjp.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
Peasmarsh Joinery,https://www.peasmarshjoinery.co.uk/,Guildford / Surrey,hibu directory template still live with icloud.com mailbox,,peasmarshjoinery@icloud.com,draft,,,,Wave 14 Surrey / Guildford / Reigate
Expert Attorney,https://expertattorney.co.uk/,Surrey,IE6/IE7/IE8 oldie conditional comments still on the live HTML shell,Archana Jain,enquiries@expertattorney.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
Stag Print,https://www.stagprint.co.uk/,Guildford / Surrey,Avada IE stylesheet still loaded behind an Internet Explorer conditional,,info@stagprint.co.uk,draft,,,,Wave 14 Surrey / Guildford / Reigate
Sheet-Tech Fabrications,https://www.sheet-techfab.co.uk/,Camberley / Surrey,Live fax 01276 20696 still on the contact block; form-only contact,,,researched,,,,Wave 14 backlog
Huggins Edwards & Sharp,https://www.hugginsedwards.co.uk/,Surrey (Leatherhead / Epsom / Ashtead),html5shiv + IE conditionals still on the live estate-agent shell; no public sales email,,,researched,,,,Wave 14 backlog
Reigate Ductwork,https://www.reigateductwork.com/,Reigate / Surrey,Reigate ductwork manufacturing - relatively current,,info@reigateductwork.com,researched,,,,Wave 14 backlog
GDK Air Conditioning,https://gdkltd.co.uk/,Guildford / Surrey,Guildford HVAC since 1991 - relatively current,,sales@gdkltd.co.uk,researched,,,,Wave 14 backlog
Create-This,https://create-this.co.uk/,Camberley / Surrey,Camberley bespoke packaging - relatively current,,helpus@create-this.co.uk,researched,,,,Wave 14 backlog
J.E.F Fabrications,https://www.jeffabrications.co.uk/,Farnham / Surrey,Farnham steel fabrication - relatively current,,info@jeffabrications.co.uk,researched,,,,Wave 14 backlog
LGM Engineering,https://www.lgmengineering.co.uk/,Epsom / Surrey,Epsom laser cutting / sheet metal - relatively current,,info@lgm-eng.co.uk,researched,,,,Wave 14 backlog
Advent Design and Support,https://adventds.com/,Guildford / Surrey,Guildford ductwork / ventilation - relatively current,,office@adventds.com,researched,,,,Wave 14 backlog
Cherrill Print,https://cherrillprint.co.uk/,Surrey / Croydon fringe,Surrey print shop - relatively current,,info@cherrillprint.co.uk,researched,,,,Wave 14 backlog
BTU Supplies,https://btu-supplies.co.uk/,Guildford / Surrey,Guildford heating / cooling trade supplies - relatively current,,sales@btu-supplies.co.uk,researched,,,,Wave 14 backlog
BEW Electrical,https://www.bew-elec.co.uk/location/guildford/,Guildford / Surrey,Guildford electrical wholesaler - relatively current,,guildford@bew-elec.co.uk,researched,,,,Wave 14 backlog
Wilson Electrical,https://wilsonelectrical.co.uk/branches/guildford,Guildford / Surrey,Guildford electrical wholesaler - relatively current,,guildford@wilsonelectrical.com,researched,,,,Wave 14 backlog
Halliday Styan,https://www.hallidaystyan.co.uk/,Surrey,Surrey chartered accountants - relatively current,,contact@hallidaystyan.co.uk,researched,,,,Wave 14 backlog
TWM Solicitors,https://twmsolicitors.com/,Guildford / Leatherhead / Epsom,Surrey multi-office solicitors - relatively current,,info@twmsolicitors.com,researched,,,,Wave 14 backlog
ECJ Joinery,http://www.ecjcarpentryandjoinery.com/,Tadworth / Surrey,Tadworth bespoke joinery - relatively current,,enquiries@ecjjoinery.co.uk,researched,,,,Wave 14 backlog
A&G Structures,https://www.aandgstructures.co.uk/,Bracknell / Berkshire,Live Fax 01344 411359 still published beside Tel on the Bracknell steelwork site,,enquiries@aandgstructures.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
JC Engineering Products,https://www.jceng.co.uk/,Reading / Berkshire,Live Fax 0118 950 4018 still listed on every page footer,,sales@jceng.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Fairbrother & Darlow,https://www.fairbrotherdarlow.co.uk/,Bracknell / Berkshire,Live Fax 01344 310 840 still published on the contact strip,,info@fairbrotherdarlow.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
THP Solicitors,https://thpsolicitors.co.uk/,Reading / Berkshire,Live Fax 0118 975 6588 still listed on the contact page,,office@thpsolicitors.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Kidd Rapinet,https://www.kiddrapinet.co.uk/our-offices/solicitors-in-slough/,Slough / Berkshire,Live Fax 01753 820501 still published on the Slough office page,Cyrus Medora,CMedora@kiddrapinet.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Connect ACR Supplies,https://acrconnect.com/,Newbury / Berkshire,html5shiv + respond.js still loaded behind IE lt 9 conditionals,,sales@acrconnect.com,draft,,,,Wave 15 Berkshire / Reading / Slough
Aim Sheet Metal,https://www.aimsheetmetal.co.uk/,Newbury / Berkshire,html5shiv-printshiv still loaded behind IE lt 9 conditionals,Andrew,andrew@aimsheetmetal.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Andrews Estate Agents,https://www.andrewsonline.co.uk/,Reading / Berkshire,html5shiv + respond.js still loaded behind IE lt 9 conditionals,,hello@andrewsonline.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Construct For Less,https://constructforless.co.uk/,Windsor / Berkshire,html5shiv still loaded behind IE lt 9 conditionals,Candyce,sales@constructforless.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Neal Brothers,https://nealbrothers.co.uk/,Silchester / Reading,IE 6 / 7 / 8 conditional comments still on the live packaging site shell,,sales.reading@nealbrothers.co.uk,draft,,,,Wave 15 Berkshire / Reading / Slough
Quantum Accountancy,https://quantumaccountancy.co.uk/,Slough / Berkshire,Live Fax 01753 521671 on contact page; email field blank / form-only,,,researched,,,,Wave 15 backlog
Field Seymour Parkes,https://www.fsp-law.com/,Reading / Berkshire,IE lt 7 conditional still on the live HTML shell,,enquiry@fsp-law.com,researched,,,,Wave 15 backlog
Blandy & Blandy,https://www.blandy.co.uk/,Reading / Berkshire,IE lt 9 conditional still on the live solicitors shell,,law@blandy.co.uk,researched,,,,Wave 15 backlog
Gardner Leader,https://www.gardner-leader.co.uk/,Newbury / Berkshire,html5shiv + IE conditional still on the live solicitors shell; form-led contact,,,researched,,,,Wave 15 backlog
